Orgunit name,MOH 731   Discordant HV01-28,MOH 731   Linked_Total HV01-35,MOH 731   Negative_Total HV01-27,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,MOH 731  Tested_Couples HV01-15,MOH 731  Tested_New HV01-13,MOH 731  Total       HV01-50,Month,Total_tested,Infection_rate
Baringo County,0.0,41.0,0.0,46.0,0.0,0.0,0.0,1,46.0,1.0
Bomet County,9.0,0.0,5571.0,120.0,0.0,0.0,66.0,1,5691.0,0.021085925144965736
Bungoma County,6.0,257.0,4877.0,0.0,0.0,2739.0,213.0,1,4877.0,0.0
Busia County,9.0,0.0,0.0,202.0,151.0,1544.0,186.0,1,202.0,1.0
Elgeyo Marakwet County,2.0,0.0,1193.0,0.0,0.0,0.0,20.0,1,1193.0,0.0
Embu County,1.0,0.0,0.0,51.0,126.0,0.0,51.0,1,51.0,1.0
Garissa County,2.0,0.0,1610.0,0.0,0.0,1087.0,0.0,1,1610.0,0.0
Homa Bay County,33.0,0.0,16825.0,0.0,854.0,0.0,0.0,1,16825.0,0.0
Isiolo County,0.0,0.0,0.0,24.0,41.0,0.0,95.0,1,24.0,1.0
Kajiado County,6.0,115.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Kakamega County,16.0,0.0,0.0,0.0,240.0,0.0,271.0,1,0.0,0.0
Kericho County,2.0,107.0,1855.0,0.0,153.0,1141.0,93.0,1,1855.0,0.0
Kiambu County,20.0,374.0,19350.0,375.0,1216.0,7726.0,0.0,1,19725.0,0.019011406844106463
Kilifi County,0.0,267.0,0.0,229.0,477.0,3281.0,0.0,1,229.0,1.0
Kirinyaga County,4.0,65.0,4824.0,74.0,203.0,2618.0,0.0,1,4898.0,0.015108207431604737
Kisii County,0.0,0.0,7638.0,0.0,0.0,3058.0,461.0,1,7638.0,0.0
Kisumu County,33.0,740.0,16060.0,0.0,629.0,2948.0,428.0,1,16060.0,0.0
Kitui County,37.0,168.0,0.0,182.0,207.0,0.0,0.0,1,182.0,1.0
Kwale County,0.0,48.0,0.0,0.0,152.0,0.0,51.0,1,0.0,0.0
Laikipia County,9.0,0.0,0.0,0.0,0.0,0.0,313.0,1,0.0,0.0
Lamu County,0.0,0.0,0.0,7.0,0.0,0.0,39.0,1,7.0,1.0
Machakos County,22.0,0.0,10931.0,273.0,335.0,4231.0,75.0,1,11204.0,0.024366297750803286
Mandera County,0.0,4.0,0.0,2.0,0.0,374.0,16.0,1,2.0,1.0
Marsabit County,1.0,0.0,0.0,16.0,0.0,0.0,0.0,1,16.0,1.0
Meru County,0.0,248.0,7200.0,0.0,409.0,3310.0,270.0,1,7200.0,0.0
Migori County,18.0,536.0,16004.0,563.0,0.0,6959.0,216.0,1,16567.0,0.033983219653528095
Mombasa County,13.0,0.0,12155.0,412.0,0.0,0.0,0.0,1,12567.0,0.03278427627914379
Muranga County,5.0,105.0,0.0,169.0,417.0,0.0,276.0,1,169.0,1.0
Nairobi County,0.0,0.0,43095.0,0.0,2646.0,17593.0,0.0,1,43095.0,0.0
Nakuru County,30.0,0.0,0.0,0.0,0.0,0.0,2399.0,1,0.0,0.0
Narok County,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Nyamira County,0.0,0.0,0.0,158.0,310.0,0.0,0.0,1,158.0,1.0
Nyandarua County,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Nyeri County,0.0,462.0,0.0,105.0,414.0,2030.0,63.0,1,105.0,1.0
Samburu County,4.0,0.0,0.0,33.0,59.0,0.0,791.0,1,33.0,1.0
Siaya County,0.0,0.0,14223.0,822.0,0.0,2535.0,952.0,1,15045.0,0.054636091724825524
Taita Taveta County,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Tana River County,0.0,0.0,1224.0,0.0,0.0,0.0,55.0,1,1224.0,0.0
Tharaka Nithi County,4.0,0.0,3161.0,0.0,0.0,1463.0,0.0,1,3161.0,0.0
Trans Nzoia County,9.0,0.0,3100.0,0.0,151.0,0.0,0.0,1,3100.0,0.0
Turkana County,13.0,116.0,12765.0,170.0,0.0,5817.0,700.0,1,12935.0,0.013142636258214147
Uasin Gishu County,6.0,0.0,7350.0,297.0,0.0,2335.0,0.0,1,7647.0,0.03883876029815614
Vihiga County,4.0,0.0,3637.0,126.0,160.0,1762.0,0.0,1,3763.0,0.03348392240233856
Wajir County,0.0,1.0,624.0,0.0,9.0,477.0,0.0,1,624.0,0.0
West Pokot County,4.0,80.0,0.0,0.0,0.0,0.0,231.0,1,0.0,0.0
Baringo County,6.0,49.0,0.0,58.0,0.0,0.0,0.0,2,58.0,1.0
Bomet County,4.0,0.0,6247.0,134.0,0.0,0.0,122.0,2,6381.0,0.020999843284751605
Bungoma County,15.0,270.0,5790.0,0.0,0.0,2948.0,179.0,2,5790.0,0.0
Busia County,20.0,0.0,0.0,197.0,173.0,1620.0,256.0,2,197.0,1.0
Elgeyo Marakwet County,6.0,0.0,1615.0,0.0,0.0,0.0,63.0,2,1615.0,0.0
Embu County,2.0,0.0,0.0,72.0,169.0,0.0,84.0,2,72.0,1.0
Garissa County,2.0,0.0,2005.0,0.0,0.0,1222.0,0.0,2,2005.0,0.0
